,County,State,CBSA Code,CBSA Title
418,Gates County,North Carolina,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
419,Geauga County,Ohio,17460,"Cleveland-Elyria, OH"
420,Gem County,Idaho,14260,"Boise City, ID"
421,Genesee County,Michigan,22420,"Flint, MI"
422,Geneva County,Alabama,20020,"Dothan, AL"
423,Gilchrist County,Florida,23540,"Gainesville, FL"
424,Giles County,Virginia,13980,"Blacksburg-Christiansburg-Radford, VA"
425,Gilpin County,Colorado,19740,"Denver-Aurora-Lakewood, CO"
426,Gloucester County,New Jersey,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
427,Gloucester County,Virginia,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
428,Glynn County,Georgia,15260,"Brunswick, GA"
429,Golden Valley County,Montana,13740,"Billings, MT"
430,Goliad County,Texas,47020,"Victoria, TX"
431,Goochland County,Virginia,40060,"Richmond, VA"
432,Grady County,Oklahoma,36420,"Oklahoma City, OK"
433,Grainger County,Tennessee,28940,"Knoxville, TN"
434,Grand Forks County,North Dakota,24220,"Grand Forks, ND-MN"
435,Grand Isle County,Vermont,15540,"Burlington-South Burlington, VT"
436,Grant County,Arkansas,30780,"Little Rock-North Little Rock-Conway, AR"
437,Grant County,Kentucky,17140,"Cincinnati, OH-KY-IN"
438,Grant Parish,Louisiana,10780,"Alexandria, LA"
439,Grayson County,Texas,43300,"Sherman-Denison, TX"
440,Green County,Wisconsin,31540,"Madison, WI"
441,Greene County,Ohio,19380,"Dayton, OH"
442,Greene County,Missouri,44180,"Springfield, MO"
443,Greene County,Virginia,16820,"Charlottesville, VA"
444,Greenup County,Kentucky,26580,"Huntington-Ashland, WV-KY-OH"
445,Greenville County,South Carolina,24860,"Greenville-Anderson-Mauldin, SC"
446,Gregg County,Texas,30980,"Longview, TX"
447,Grundy County,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
448,Grundy County,Iowa,47940,"Waterloo-Cedar Falls, IA"
449,Guadalupe County,Texas,41700,"San Antonio-New Braunfels, TX"
450,Guánica Municipio,Puerto Rico,38660,"Ponce, PR"
451,Guayama Municipio,Puerto Rico,25020,"Guayama, PR"
452,Guayanilla Municipio,Puerto Rico,38660,"Ponce, PR"
453,Guaynabo Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
454,Guilford County,North Carolina,24660,"Greensboro-High Point, NC"
455,Gulf County,Florida,37460,"Panama City, FL"
456,Gurabo Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
457,Guthrie County,Iowa,19780,"Des Moines-West Des Moines, IA"
458,Gwinnett County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
459,Hale County,Alabama,46220,"Tuscaloosa, AL"
460,Hall County,Nebraska,24260,"Grand Island, NE"
461,Hall County,Georgia,23580,"Gainesville, GA"
462,Hamblen County,Tennessee,34100,"Morristown, TN"
463,Hamilton County,Indiana,26900,"Indianapolis-Carmel-Anderson, IN"
464,Hamilton County,Ohio,17140,"Cincinnati, OH-KY-IN"
465,Hamilton County,Tennessee,16860,"Chattanooga, TN-GA"
466,Hamilton County,Nebraska,24260,"Grand Island, NE"
467,Hampden County,Massachusetts,44140,"Springfield, MA"
468,Hampshire County,Massachusetts,44140,"Springfield, MA"
469,Hampshire County,West Virginia,49020,"Winchester, VA-WV"
470,Hampton city,Virginia,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
471,Hancock County,West Virginia,48260,"Weirton-Steubenville, WV-OH"
472,Hancock County,Mississippi,25060,"Gulfport-Biloxi-Pascagoula, MS"
473,Hancock County,Indiana,26900,"Indianapolis-Carmel-Anderson, IN"
474,Hancock County,Kentucky,36980,"Owensboro, KY"
475,Hanover County,Virginia,40060,"Richmond, VA"
476,Haralson County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
477,Hardin County,Kentucky,21060,"Elizabethtown-Fort Knox, KY"
478,Hardin County,Texas,13140,"Beaumont-Port Arthur, TX"
479,Harford County,Maryland,12580,"Baltimore-Columbia-Towson, MD"
480,Harris County,Georgia,17980,"Columbus, GA-AL"
481,Harris County,Texas,26420,"Houston-The Woodlands-Sugar Land, TX"
482,Harrison County,Mississippi,25060,"Gulfport-Biloxi-Pascagoula, MS"
483,Harrison County,Indiana,31140,"Louisville/Jefferson County, KY-IN"
484,Harrison County,Iowa,36540,"Omaha-Council Bluffs, NE-IA"
485,Harrisonburg city,Virginia,25500,"Harrisonburg, VA"
486,Hartford County,Connecticut,25540,"Hartford-West Hartford-East Hartford, CT"
487,Harvey County,Kansas,48620,"Wichita, KS"
488,Hatillo Municipio,Puerto Rico,11640,"Arecibo, PR"
489,Hawkins County,Tennessee,28700,"Kingsport-Bristol-Bristol, TN-VA"
490,Hays County,Texas,12420,"Austin-Round Rock, TX"
491,Haywood County,North Carolina,11700,"Asheville, NC"
492,Heard County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
493,Henderson County,North Carolina,11700,"Asheville, NC"
494,Henderson County,Kentucky,21780,"Evansville, IN-KY"
495,Hendricks County,Indiana,26900,"Indianapolis-Carmel-Anderson, IN"
496,Hennepin County,Minnesota,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
497,Henrico County,Virginia,40060,"Richmond, VA"
498,Henry County,Alabama,20020,"Dothan, AL"
499,Henry County,Illinois,19340,"Davenport-Moline-Rock Island, IA-IL"
500,Henry County,Kentucky,31140,"Louisville/Jefferson County, KY-IN"
501,Henry County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
502,Herkimer County,New York,46540,"Utica-Rome, NY"
503,Hernando County,Florida,45300,"Tampa-St. Petersburg-Clearwater, FL"
504,Hickman County,Tennessee,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
505,Hidalgo County,Texas,32580,"McAllen-Edinburg-Mission, TX"
506,Highlands County,Florida,42700,"Sebring, FL"
507,Hillsborough County,New Hampshire,31700,"Manchester-Nashua, NH"
508,Hillsborough County,Florida,45300,"Tampa-St. Petersburg-Clearwater, FL"
509,Hinds County,Mississippi,27140,"Jackson, MS"
510,Hocking County,Ohio,18140,"Columbus, OH"
511,Hoke County,North Carolina,22180,"Fayetteville, NC"
512,Honolulu County,Hawaii,46520,"Urban Honolulu, HI"
513,Hood County,Texas,19100,"Dallas-Fort Worth-Arlington, TX"
514,Hopewell city,Virginia,40060,"Richmond, VA"
515,Hormigueros Municipio,Puerto Rico,32420,"Mayagüez, PR"
516,Horry County,South Carolina,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
517,Houston County,Minnesota,29100,"La Crosse-Onalaska, WI-MN"
518,Houston County,Alabama,20020,"Dothan, AL"
519,Houston County,Georgia,47580,"Warner Robins, GA"
520,Howard County,Maryland,12580,"Baltimore-Columbia-Towson, MD"
521,Howard County,Indiana,29020,"Kokomo, IN"
522,Howard County,Nebraska,24260,"Grand Island, NE"
523,Hudson County,New Jersey,35620,"New York-Newark-Jersey City, NY-NJ-PA"
524,Hudspeth County,Texas,21340,"El Paso, TX"
525,Humacao Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
526,Hunt County,Texas,19100,"Dallas-Fort Worth-Arlington, TX"
527,Hunterdon County,New Jersey,35620,"New York-Newark-Jersey City, NY-NJ-PA"
528,Iberia Parish,Louisiana,29180,"Lafayette, LA"
529,Iberville Parish,Louisiana,12940,"Baton Rouge, LA"
530,Imperial County,California,20940,"El Centro, CA"
531,Indian River County,Florida,42680,"Sebastian-Vero Beach, FL"
532,Ingham County,Michigan,29620,"Lansing-East Lansing, MI"
533,Iowa County,Wisconsin,31540,"Madison, WI"
534,Iredell County,North Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC"
535,Irion County,Texas,41660,"San Angelo, TX"
536,Isabela Municipio,Puerto Rico,10380,"Aguadilla-Isabela, PR"
537,Isanti County,Minnesota,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
538,Isle of Wight County,Virginia,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
539,Jackson County,Oregon,32780,"Medford, OR"
540,Jackson County,Mississippi,25060,"Gulfport-Biloxi-Pascagoula, MS"
541,Jackson County,Michigan,27100,"Jackson, MI"
542,Jackson County,Illinois,16060,"Carbondale-Marion, IL"
543,Jackson County,Kansas,45820,"Topeka, KS"
544,Jackson County,Missouri,28140,"Kansas City, MO-KS"
545,James City County,Virginia,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
546,Jasper County,South Carolina,25940,"Hilton Head Island-Bluffton-Beaufort, SC"
547,Jasper County,Indiana,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
548,Jasper County,Missouri,27900,"Joplin, MO"
549,Jasper County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
550,Jefferson County,West Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
551,Jefferson County,New York,48060,"Watertown-Fort Drum, NY"
552,Jefferson County,Idaho,26820,"Idaho Falls, ID"
553,Jefferson County,Colorado,19740,"Denver-Aurora-Lakewood, CO"
554,Jefferson County,Florida,45220,"Tallahassee, FL"
555,Jefferson County,Arkansas,38220,"Pine Bluff, AR"
556,Jefferson County,Alabama,13820,"Birmingham-Hoover, AL"
557,Jefferson County,Ohio,48260,"Weirton-Steubenville, WV-OH"
558,Jefferson County,Kansas,45820,"Topeka, KS"
559,Jefferson County,Tennessee,34100,"Morristown, TN"
560,Jefferson County,Missouri,41180,"St. Louis, MO-IL"
561,Jefferson County,Kentucky,31140,"Louisville/Jefferson County, KY-IN"
562,Jefferson County,Texas,13140,"Beaumont-Port Arthur, TX"
563,Jefferson Parish,Louisiana,35380,"New Orleans-Metairie, LA"
564,Jersey County,Illinois,41180,"St. Louis, MO-IL"
565,Jessamine County,Kentucky,30460,"Lexington-Fayette, KY"
566,Johnson County,Indiana,26900,"Indianapolis-Carmel-Anderson, IN"
567,Johnson County,Kansas,28140,"Kansas City, MO-KS"
568,Johnson County,Iowa,26980,"Iowa City, IA"
569,Johnson County,Texas,19100,"Dallas-Fort Worth-Arlington, TX"
570,Johnston County,North Carolina,39580,"Raleigh, NC"
571,Jones County,North Carolina,35100,"New Bern, NC"
572,Jones County,Iowa,16300,"Cedar Rapids, IA"
573,Jones County,Georgia,31420,"Macon-Bibb County, GA"
574,Jones County,Texas,10180,"Abilene, TX"
575,Josephine County,Oregon,24420,"Grants Pass, OR"
576,Juab County,Utah,39340,"Provo-Orem, UT"
577,Juana Díaz Municipio,Puerto Rico,38660,"Ponce, PR"
578,Juncos Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
579,Kalamazoo County,Michigan,28020,"Kalamazoo-Portage, MI"
580,Kalawao County,Hawaii,27980,"Kahului-Wailuku-Lahaina, HI"
581,Kanawha County,West Virginia,16620,"Charleston, WV"
582,Kane County,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
583,Kankakee County,Illinois,28100,"Kankakee, IL"
584,Kaufman County,Texas,19100,"Dallas-Fort Worth-Arlington, TX"
585,Kendall County,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
586,Kendall County,Texas,41700,"San Antonio-New Braunfels, TX"
587,Kenosha County,Wisconsin,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
588,Kent County,Delaware,20100,"Dover, DE"
589,Kent County,Rhode Island,39300,"Providence-Warwick, RI-MA"
590,Kent County,Michigan,24340,"Grand Rapids-Wyoming, MI"
591,Kenton County,Kentucky,17140,"Cincinnati, OH-KY-IN"
592,Kern County,California,12540,"Bakersfield, CA"
593,Kershaw County,South Carolina,17900,"Columbia, SC"
594,Kewaunee County,Wisconsin,24580,"Green Bay, WI"
595,King County,Washington,42660,"Seattle-Tacoma-Bellevue, WA"
596,King William County,Virginia,40060,"Richmond, VA"
597,Kingman County,Kansas,48620,"Wichita, KS"
598,Kings County,California,25260,"Hanford-Corcoran, CA"
599,Kings County,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA"
600,Kitsap County,Washington,14740,"Bremerton-Silverdale, WA"
601,Knox County,Tennessee,28940,"Knoxville, TN"
602,Kootenai County,Idaho,17660,"Coeur d'Alene, ID"
603,La Crosse County,Wisconsin,29100,"La Crosse-Onalaska, WI-MN"
604,Lackawanna County,Pennsylvania,42540,"Scranton--Wilkes-Barre--Hazleton, PA"
605,Lafayette County,Missouri,28140,"Kansas City, MO-KS"
606,Lafayette Parish,Louisiana,29180,"Lafayette, LA"
607,Lafourche Parish,Louisiana,26380,"Houma-Thibodaux, LA"
608,Lajas Municipio,Puerto Rico,41900,"San Germán, PR"
609,Lake County,Florida,36740,"Orlando-Kissimmee-Sanford, FL"
610,Lake County,Ohio,17460,"Cleveland-Elyria, OH"
611,Lake County,Indiana,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
612,Lake County,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
613,Lamar County,Mississippi,25620,"Hattiesburg, MS"
614,Lamar County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
615,Lampasas County,Texas,28660,"Killeen-Temple, TX"
616,Lancaster County,South Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC"
617,Lancaster County,Pennsylvania,29540,"Lancaster, PA"
618,Lancaster County,Nebraska,30700,"Lincoln, NE"
619,Lane County,Oregon,21660,"Eugene, OR"
620,Lanier County,Georgia,46660,"Valdosta, GA"
621,Lapeer County,Michigan,19820,"Detroit-Warren-Dearborn, MI"
622,LaPorte County,Indiana,33140,"Michigan City-La Porte, IN"
623,Laramie County,Wyoming,16940,"Cheyenne, WY"
624,Lares Municipio,Puerto Rico,10380,"Aguadilla-Isabela, PR"
625,Larimer County,Colorado,22660,"Fort Collins, CO"
626,Larue County,Kentucky,21060,"Elizabethtown-Fort Knox, KY"
627,Las Piedras Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
628,Lauderdale County,Alabama,22520,"Florence-Muscle Shoals, AL"
629,Laurens County,South Carolina,24860,"Greenville-Anderson-Mauldin, SC"
630,Lawrence County,Alabama,19460,"Decatur, AL"
631,Lawrence County,Ohio,26580,"Huntington-Ashland, WV-KY-OH"
632,Le Flore County,Oklahoma,22900,"Fort Smith, AR-OK"
633,Le Sueur County,Minnesota,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
634,Leavenworth County,Kansas,28140,"Kansas City, MO-KS"
635,Lebanon County,Pennsylvania,30140,"Lebanon, PA"
636,Lee County,Florida,15980,"Cape Coral-Fort Myers, FL"
637,Lee County,Alabama,12220,"Auburn-Opelika, AL"
638,Lee County,Georgia,10500,"Albany, GA"
639,Lehigh County,Pennsylvania,10900,"Allentown-Bethlehem-Easton, PA-NJ"
640,Leon County,Florida,45220,"Tallahassee, FL"
641,Lexington County,South Carolina,17900,"Columbia, SC"
642,Liberty County,Georgia,25980,"Hinesville, GA"
643,Liberty County,Texas,26420,"Houston-The Woodlands-Sugar Land, TX"
644,Licking County,Ohio,18140,"Columbus, OH"
645,Limestone County,Alabama,26620,"Huntsville, AL"
646,Lincoln County,West Virginia,26580,"Huntington-Ashland, WV-KY-OH"
647,Lincoln County,Arkansas,38220,"Pine Bluff, AR"
648,Lincoln County,Oklahoma,36420,"Oklahoma City, OK"
649,Lincoln County,South Dakota,43620,"Sioux Falls, SD"
650,Lincoln County,North Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC"
651,Lincoln County,Missouri,41180,"St. Louis, MO-IL"
652,Lincoln County,Georgia,12260,"Augusta-Richmond County, GA-SC"
653,Linn County,Oregon,10540,"Albany, OR"
654,Linn County,Kansas,28140,"Kansas City, MO-KS"
655,Linn County,Iowa,16300,"Cedar Rapids, IA"
656,Little River County,Arkansas,45500,"Texarkana, TX-AR"
657,Livingston County,New York,40380,"Rochester, NY"
658,Livingston County,Michigan,19820,"Detroit-Warren-Dearborn, MI"
659,Livingston Parish,Louisiana,12940,"Baton Rouge, LA"
660,Logan County,Oklahoma,36420,"Oklahoma City, OK"
661,Loíza Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
662,Long County,Georgia,25980,"Hinesville, GA"
663,Lonoke County,Arkansas,30780,"Little Rock-North Little Rock-Conway, AR"
664,Lorain County,Ohio,17460,"Cleveland-Elyria, OH"
665,Los Angeles County,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
666,Loudon County,Tennessee,28940,"Knoxville, TN"
667,Loudoun County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
668,Lowndes County,Alabama,33860,"Montgomery, AL"
669,Lowndes County,Georgia,46660,"Valdosta, GA"
670,Lubbock County,Texas,31180,"Lubbock, TX"
671,Lucas County,Ohio,45780,"Toledo, OH"
672,Luquillo Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
673,Luzerne County,Pennsylvania,42540,"Scranton--Wilkes-Barre--Hazleton, PA"
674,Lycoming County,Pennsylvania,48700,"Williamsport, PA"
675,Lynchburg city,Virginia,31340,"Lynchburg, VA"
676,Lynn County,Texas,31180,"Lubbock, TX"
677,Macomb County,Michigan,19820,"Detroit-Warren-Dearborn, MI"
678,Macon County,Tennessee,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
679,Macon County,Illinois,19500,"Decatur, IL"
680,Macoupin County,Illinois,41180,"St. Louis, MO-IL"
681,Madera County,California,31460,"Madera, CA"
682,Madison County,New York,45060,"Syracuse, NY"
683,Madison County,Arkansas,22220,"Fayetteville-Springdale-Rogers, AR-MO"
684,Madison County,Alabama,26620,"Huntsville, AL"
685,Madison County,Mississippi,27140,"Jackson, MS"
686,Madison County,Indiana,26900,"Indianapolis-Carmel-Anderson, IN"
687,Madison County,Ohio,18140,"Columbus, OH"
688,Madison County,Tennessee,27180,"Jackson, TN"
689,Madison County,North Carolina,11700,"Asheville, NC"
690,Madison County,Illinois,41180,"St. Louis, MO-IL"
691,Madison County,Iowa,19780,"Des Moines-West Des Moines, IA"
692,Madison County,Georgia,12020,"Athens-Clarke County, GA"
693,Mahoning County,Ohio,49660,"Youngstown-Warren-Boardman, OH-PA"
694,Manassas city,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
695,Manassas Park city,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
696,Manatee County,Florida,35840,"North Port-Sarasota-Bradenton, FL"
697,Manatí Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
698,Marathon County,Wisconsin,48140,"Wausau, WI"
699,Maricopa County,Arizona,38060,"Phoenix-Mesa-Scottsdale, AZ"
700,Marin County,California,41860,"San Francisco-Oakland-Hayward, CA"
701,Marion County,Oregon,41420,"Salem, OR"
702,Marion County,Florida,36100,"Ocala, FL"
703,Marion County,Indiana,26900,"Indianapolis-Carmel-Anderson, IN"
704,Marion County,Tennessee,16860,"Chattanooga, TN-GA"
705,Marion County,Georgia,17980,"Columbus, GA-AL"
706,Marshall County,West Virginia,48540,"Wheeling, WV-OH"
707,Marshall County,Mississippi,32820,"Memphis, TN-MS-AR"
708,Marshall County,Illinois,37900,"Peoria, IL"
709,Martin County,Florida,38940,"Port St. Lucie, FL"
710,Martin County,Texas,33260,"Midland, TX"
711,Matanuska-Susitna Borough,Alaska,11260,"Anchorage, AK"
712,Mathews County,Virginia,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
713,Maui County,Hawaii,27980,"Kahului-Wailuku-Lahaina, HI"
714,Maunabo Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
715,Maury County,Tennessee,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
716,Mayagüez Municipio,Puerto Rico,32420,"Mayagüez, PR"
717,McClain County,Oklahoma,36420,"Oklahoma City, OK"
718,McCook County,South Dakota,43620,"Sioux Falls, SD"
719,McDonald County,Missouri,22220,"Fayetteville-Springdale-Rogers, AR-MO"
720,McDuffie County,Georgia,12260,"Augusta-Richmond County, GA-SC"
721,McHenry County,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
722,McIntosh County,Georgia,15260,"Brunswick, GA"
723,McLean County,Illinois,14010,"Bloomington, IL"
724,McLean County,Kentucky,36980,"Owensboro, KY"
725,McLennan County,Texas,47380,"Waco, TX"
726,Meade County,South Dakota,39660,"Rapid City, SD"
727,Meade County,Kentucky,21060,"Elizabethtown-Fort Knox, KY"
728,Mecklenburg County,North Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC"
729,Medina County,Ohio,17460,"Cleveland-Elyria, OH"
730,Medina County,Texas,41700,"San Antonio-New Braunfels, TX"
731,Menard County,Illinois,44100,"Springfield, IL"
732,Merced County,California,32900,"Merced, CA"
733,Mercer County,New Jersey,45940,"Trenton, NJ"
734,Mercer County,Pennsylvania,49660,"Youngstown-Warren-Boardman, OH-PA"
735,Mercer County,Illinois,19340,"Davenport-Moline-Rock Island, IA-IL"
736,Meriwether County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
737,Merrick County,Nebraska,24260,"Grand Island, NE"
738,Mesa County,Colorado,24300,"Grand Junction, CO"
739,Miami County,Ohio,19380,"Dayton, OH"
740,Miami County,Kansas,28140,"Kansas City, MO-KS"
741,Miami-Dade County,Florida,33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
742,Middlesex County,Connecticut,25540,"Hartford-West Hartford-East Hartford, CT"
743,Middlesex County,Massachusetts,14460,"Boston-Cambridge-Newton, MA-NH"
744,Middlesex County,New Jersey,35620,"New York-Newark-Jersey City, NY-NJ-PA"
745,Midland County,Michigan,33220,"Midland, MI"
746,Midland County,Texas,33260,"Midland, TX"
747,Mille Lacs County,Minnesota,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
748,Miller County,Arkansas,45500,"Texarkana, TX-AR"
749,Mills County,Iowa,36540,"Omaha-Council Bluffs, NE-IA"
750,Milwaukee County,Wisconsin,33340,"Milwaukee-Waukesha-West Allis, WI"
751,Mineral County,West Virginia,19060,"Cumberland, MD-WV"
752,Minnehaha County,South Dakota,43620,"Sioux Falls, SD"
753,Missoula County,Montana,33540,"Missoula, MT"
754,Mobile County,Alabama,33660,"Mobile, AL"
755,Moca Municipio,Puerto Rico,10380,"Aguadilla-Isabela, PR"
756,Mohave County,Arizona,29420,"Lake Havasu City-Kingman, AZ"
757,Moniteau County,Missouri,27620,"Jefferson City, MO"
758,Monmouth County,New Jersey,35620,"New York-Newark-Jersey City, NY-NJ-PA"
759,Monongalia County,West Virginia,34060,"Morgantown, WV"
760,Monroe County,New York,40380,"Rochester, NY"
761,Monroe County,Pennsylvania,20700,"East Stroudsburg, PA"
762,Monroe County,Indiana,14020,"Bloomington, IN"
763,Monroe County,Michigan,33780,"Monroe, MI"
764,Monroe County,Illinois,41180,"St. Louis, MO-IL"
765,Monroe County,Georgia,31420,"Macon-Bibb County, GA"
766,Montcalm County,Michigan,24340,"Grand Rapids-Wyoming, MI"
767,Monterey County,California,41500,"Salinas, CA"
768,Montgomery County,Maryland,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
769,Montgomery County,Pennsylvania,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
770,Montgomery County,Alabama,33860,"Montgomery, AL"
771,Montgomery County,Ohio,19380,"Dayton, OH"
772,Montgomery County,Virginia,13980,"Blacksburg-Christiansburg-Radford, VA"
773,Montgomery County,Tennessee,17300,"Clarksville, TN-KY"
774,Montgomery County,Texas,26420,"Houston-The Woodlands-Sugar Land, TX"
775,Montour County,Pennsylvania,14100,"Bloomsburg-Berwick, PA"
776,Morgan County,Utah,36260,"Ogden-Clearfield, UT"
777,Morgan County,Alabama,19460,"Decatur, AL"
778,Morgan County,Indiana,26900,"Indianapolis-Carmel-Anderson, IN"
779,Morgan County,Tennessee,28940,"Knoxville, TN"
780,Morgan County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
781,Morovis Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
782,Morris County,New Jersey,35620,"New York-Newark-Jersey City, NY-NJ-PA"
783,Morrow County,Ohio,18140,"Columbus, OH"
784,Morton County,North Dakota,13900,"Bismarck, ND"
785,Multnomah County,Oregon,38900,"Portland-Vancouver-Hillsboro, OR-WA"
786,Murray County,Georgia,19140,"Dalton, GA"
787,Muscogee County,Georgia,17980,"Columbus, GA-AL"
788,Muskegon County,Michigan,34740,"Muskegon, MI"
789,Naguabo Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
790,Napa County,California,34900,"Napa, CA"
791,Naranjito Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
792,Nash County,North Carolina,40580,"Rocky Mount, NC"
793,Nassau County,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA"
794,Nassau County,Florida,27260,"Jacksonville, FL"
795,Natrona County,Wyoming,16220,"Casper, WY"
796,Nelson County,Virginia,16820,"Charlottesville, VA"
797,New Castle County,Delaware,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
798,New Hanover County,North Carolina,48900,"Wilmington, NC"
799,New Haven County,Connecticut,35300,"New Haven-Milford, CT"
800,New Kent County,Virginia,40060,"Richmond, VA"
801,New London County,Connecticut,35980,"Norwich-New London, CT"
802,New York County,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA"
803,Newport County,Rhode Island,39300,"Providence-Warwick, RI-MA"
804,Newport News city,Virginia,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
805,Newton County,Indiana,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
806,Newton County,Missouri,27900,"Joplin, MO"
807,Newton County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
808,Newton County,Texas,13140,"Beaumont-Port Arthur, TX"
809,Nez Perce County,Idaho,30300,"Lewiston, ID-WA"
810,Niagara County,New York,15380,"Buffalo-Cheektowaga-Niagara Falls, NY"
811,Nicollet County,Minnesota,31860,"Mankato-North Mankato, MN"
812,Norfolk city,Virginia,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
813,Norfolk County,Massachusetts,14460,"Boston-Cambridge-Newton, MA-NH"
814,Northampton County,Pennsylvania,10900,"Allentown-Bethlehem-Easton, PA-NJ"
815,Nueces County,Texas,18580,"Corpus Christi, TX"
816,Oakland County,Michigan,19820,"Detroit-Warren-Dearborn, MI"
817,Ocean County,New Jersey,35620,"New York-Newark-Jersey City, NY-NJ-PA"
818,Oconee County,Georgia,12020,"Athens-Clarke County, GA"
819,Oconto County,Wisconsin,24580,"Green Bay, WI"
820,Oglethorpe County,Georgia,12020,"Athens-Clarke County, GA"
821,Ohio County,West Virginia,48540,"Wheeling, WV-OH"
822,Ohio County,Indiana,17140,"Cincinnati, OH-KY-IN"
823,Okaloosa County,Florida,18880,"Crestview-Fort Walton Beach-Destin, FL"
824,Oklahoma County,Oklahoma,36420,"Oklahoma City, OK"
825,Okmulgee County,Oklahoma,46140,"Tulsa, OK"
826,Oldham County,Kentucky,31140,"Louisville/Jefferson County, KY-IN"
827,Oldham County,Texas,11100,"Amarillo, TX"
828,Oliver County,North Dakota,13900,"Bismarck, ND"
829,Olmsted County,Minnesota,40340,"Rochester, MN"
830,Oneida County,New York,46540,"Utica-Rome, NY"
831,Onondaga County,New York,45060,"Syracuse, NY"
832,Onslow County,North Carolina,27340,"Jacksonville, NC"
833,Ontario County,New York,40380,"Rochester, NY"
834,Orange County,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
835,Orange County,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA"
836,Orange County,Florida,36740,"Orlando-Kissimmee-Sanford, FL"
837,Orange County,North Carolina,20500,"Durham-Chapel Hill, NC"
838,Orange County,Texas,13140,"Beaumont-Port Arthur, TX"
839,Orleans County,New York,40380,"Rochester, NY"
